"locationId","locationName","publicLocationName","latitude","longitude","offline","pm01","pm02","pm10","pm003Count","atmp","rhum","rco2","tvoc","wifi","timestamp","tvocIndex","noxIndex","heatindex","publicPlaceName","publicPlaceUrl","publicContributorName","timezone","model","firmwareVersion"
68489,"Zagreb, Ljudevita Posavskog","Zagreb, Ljudevita Posavskog",45.808215928423095,15.995745623062676,FALSE,16.83,30.17,30.83,2994,14.2,61.78,406.67,84.96128,-59,"2025-03-29T03:44:46.000Z",90.42,1,11.7,NA,NA,NA,"Europe/Rome","O-1PS","3.1.21"
68499,NA,NA,35.90062320713874,-78.42156087328813,FALSE,1.17,2,2,473.5,22.9,33.38,567,249.33144,-66,"2025-03-29T03:44:33.000Z",234,1,21.7,NA,NA,NA,"America/New_York","O-1PS","3.1.21"
68512,"Schwäbisch Gmünd","Schwäbisch Gmünd",48.8054218,9.8147211,FALSE,12.33,21.33,21.67,2041,14.1,49.71,462,166.1054,-82,"2025-03-29T03:44:19.000Z",169,1,11.7,NA,NA,NA,"Europe/Berlin","O-1PS","3.1.21"
68850,"Parkstadt Schwabing (Lyonel-Feininger-Straße)","Parkstadt Schwabing (Lyonel-Feininger-Straße)",48.179657,11.592843,FALSE,21.17,33.5,36.17,3502,11.97,58.2,408.67,144.84828,-51,"2025-03-29T03:44:32.000Z",150,1,8.9,NA,NA,NA,"Europe/Berlin","O-1PS","3.1.21"
68856,NA,NA,36.212814,-118.8134089,FALSE,1.5,3,3,478.5,11.72,77.5,NA,NA,-88,"2025-03-29T03:45:13.000Z",NA,NA,8.9,NA,NA,NA,"America/Los_Angeles","O-1PP",NA
69159,"Unhošť","Unhošť",50.085915,14.138103,FALSE,25,42.5,50.5,4682.5,10.8,59.4,416.33,69.98301,-48,"2025-03-29T03:44:39.000Z",74,1,7.8,NA,NA,NA,"Europe/Prague","O-1PS","3.1.21"
69281,"Fountain Valley, CA","Fountain Valley, CA",33.71,117.9,FALSE,2.6,5.6,5.7,552,17.1,55.5,405,112.52049,-71,"2025-03-29T03:44:50.000Z",119,1,15,NA,NA,NA,"America/Los_Angeles","O-1PS","0.6.4"
69333,"Le Cat Etoiles","Le Cat Etoiles",48.602,1.6924,FALSE,2,5,5,622.5,10.1,59.55,415,69.089516,-50,"2025-03-29T03:45:15.000Z",73,16,6.7,NA,NA,"David Néel","Europe/Paris","O-1PS","3.1.21"
69338,"East Friesia","East Friesia",53.318796,7.341371,FALSE,5,6,6,813,5.6,94,406,30.09644,-76,"2025-03-29T03:45:16.000Z",27,8,0.6,NA,NA,NA,"Europe/Berlin","O-1PS",NA
69372,"Mariners Point, Foster City","Mariners Point, Foster City",37.571756,-122.28453,FALSE,0,1.11924,1,246,13.9,59.7,411,159.26396,-51,"2025-03-29T03:43:22.000Z",163,2,11.1,NA,NA,NA,"America/Los_Angeles","O-1PS",NA
69498,"University Place Apartments Rooftop","University Place Apartments Rooftop",38.94708235865785,-92.32280379677539,FALSE,8.83,11.83,11.83,1597,19.4,54.8,407.33,521.31366,-50,"2025-03-29T03:45:12.000Z",370,1,17.8,NA,NA,NA,"America/Chicago","O-1PS","3.1.21"
69603,"Timbercreek","Timbercreek",26.376744991944996,-80.13152801516851,FALSE,4.67,6.17,6.83,1023.5,23.58,46.69,413,26.423391,-60,"2025-03-29T03:44:25.000Z",22.42,9,22.8,NA,NA,NA,"America/New_York","O-1PS","3.1.21"
69690,"southG","southG",51.29256183027962,-116.96560277762836,FALSE,6.67,10.5,11.67,1391.5,9,50.22,409,93.42728,-43,"2025-03-29T03:44:51.000Z",99.42,25,5,NA,NA,NA,"America/Edmonton","O-1PS","3.1.21"
69698,"Hurt VA","Hurt VA",37.099944,-79.293361,FALSE,12.8,16.7,16.9,2398,23.8,26.4,419,56.795166,-83,"2025-03-29T03:44:50.000Z",59,1,22.8,NA,NA,"Hurt VA","America/New_York","O-1PST","0.6.4"
69757,"St Lukes Garden","St Lukes Garden",50.826428,-0.120566,FALSE,2,4.2,7.6,565,7.8,57.8,420,134.11809,-79,"2025-03-29T03:44:38.000Z",140,2,3.3,NA,NA,NA,"Europe/London","O-1PS","0.6.4"
69764,"Mont Saint Guibert","Mont Saint Guibert",50.646168859808455,4.613729695736999,FALSE,13.33,19.83,19.83,2471,11.55,60.5,431.33,183.76509,-68,"2025-03-29T03:44:19.000Z",184,38,8.3,NA,NA,"","Europe/Brussels","O-1PST","3.1.21"
69782,"Midwood","Midwood",1.3641,103.7637,FALSE,26.5,42.67,50.67,5331.5,29.7,55.05,430,148.12701,-55,"2025-03-29T03:44:50.000Z",153,2,36.8,NA,NA,"Lawliet","Asia/Singapore","O-1PS","3.1.21"
69798,"Plano (Central Plano)","Plano (Central Plano)",33.02671501396604,-96.73049880638965,FALSE,7.83,12.33,12.33,1497.5,20.4,60.97,423,188.61557,-51,"2025-03-29T03:44:29.000Z",188,1,18.9,NA,NA,NA,"America/Chicago","O-1PS","3.1.21"
69802,NA,NA,53,11,FALSE,17.5,30.1,30.9,2932,9.4,55.4,427,85.50125,-71,"2025-03-29T03:45:10.000Z",91,3,5.6,NA,NA,NA,"Europe/Berlin","O-1PS","0.6.4"
69922,"Outer Richmond, San Francisco","Outer Richmond, San Francisco",37.7764823,-122.5026075,FALSE,4,7,7,705,13.19,78,410,153.6549,-77,"2025-03-29T03:44:21.000Z",158,1,10.6,NA,NA,"Air quality contributor #98000234","America/Los_Angeles","O-1PS",NA
70023,"Lost Hills Union School District (SJVAir)","Lost Hills Union School District (SJVAir)",35.6152942,-119.7026069,FALSE,0.6,0.8,1.1,1000,17.9,34.7,NA,NA,-27,"2025-03-29T03:45:00.000Z",NA,NA,16.1,NA,"https://sjvair.com","SJVAir.com","America/Los_Angeles","O-1PP","0.6.4"
70027,"Livingston Child Development Center (SJVAir)","Livingston Child Development Center (SJVAir)",37.3827456,-120.7272537,FALSE,0.7,1.6,2,433,15.1,39.7,NA,39.065197,-44,"2025-03-29T03:44:36.000Z",38,3,12.8,NA,"https://sjvair.com","SJVAir.com","America/Los_Angeles","O-1PP","0.6.4"
70261,"UM6P_Bengeurir2","UM6P_Bengeurir2",32.2136214,-7.9359933,FALSE,4,6.5,8,939,16.74,48,NA,NA,-58,"2025-03-29T03:45:07.000Z",NA,NA,14.4,NA,NA,"campus","Africa/Casablanca","O-1PP",NA
70392,"Hirschaid, Ottostr.","Hirschaid, Ottostr.",49.8198991,10.9935369,FALSE,23.17,36.83,43.83,3909.5,10.9,55.1,461,171.90172,-75,"2025-03-29T03:44:25.000Z",174,1,7.8,NA,NA,NA,"Europe/Berlin","O-1PST","3.1.21"
70412,"Clayton, CA","Clayton, CA",37.9516,-121.9384,FALSE,0.33,0.83,0.83,227,13.22,54.22,402.67,50.793266,-55,"2025-03-29T03:44:45.000Z",52,3,10.6,NA,NA,NA,"America/Los_Angeles","O-1PS","3.1.21"
70578,"Witchcliffe","Witchcliffe",-34.0201,115.1020623,FALSE,3.5,7,7.33,822,25.5,51,406,279.07175,-70,"2025-03-29T03:45:13.000Z",254,1,25.4,NA,NA,NA,"Australia/Perth","O-1PS","3.1.21"
70641,"MSK Talat","MSK Talat",16.1033,103.1733,FALSE,29,47.8,57.6,6476,33.5,35.3,412,22.121828,-46,"2025-03-29T03:44:46.000Z",17,1,40.3,NA,NA,"Nieuwegeljo","Asia/Bangkok","O-1PST","0.6.4"
70698,"M1","M1",47.44513,21.632067,FALSE,14,24,25,NA,12.5,66,NA,65.53628,-56,"2025-03-29T03:45:00.000Z",69,3,9.4,NA,NA,"Baseball","Europe/Budapest","O-1PS",NA
70699,"FIGA","FIGA",47.594214,21.64096,FALSE,19,33,34,NA,12.3,71,NA,8.935767,-91,"2025-03-29T03:44:54.000Z",0,0,9.4,NA,NA,"Baseball","Europe/Budapest","O-1PS",NA
70707,"Longueuil - Near Métro Station","Longueuil - Near Métro Station",45.52633,-73.52326,FALSE,0.8,2.3,3,304,6.8,39.7,401,26.88659,-55,"2025-03-29T03:45:02.000Z",23,1,2.2,NA,NA,NA,"America/Montreal","O-1PST","0.6.4"
70711,"Camden Landmark, Ontario, California","Camden Landmark, Ontario, California",34.07496431411385,-117.57062287358323,FALSE,0.5,2.33,2.33,364.5,16.33,47.79,381,27.686525,-43,"2025-03-29T03:44:45.000Z",24,13,14.4,NA,NA,NA,"America/Los_Angeles","O-1PS","3.1.21"
70792,"Showsley","Showsley",52.151952,-0.967243,FALSE,0.17,0.17,0.17,257.5,16.86,58.05,558,47.405483,-24,"2025-03-29T03:44:42.000Z",48,1,15,NA,NA,NA,"Europe/London","O-1PST","3.1.21"
70806,"Station Boisée Ascot-Lennox","Station Boisée Ascot-Lennox",45.36893,-71.88035,FALSE,1.4,5.9,10.6,487,2.3,47,420,166.1054,-40,"2025-03-29T03:44:40.000Z",169,1,-3.9,NA,NA,"Bishop's University - BAL","America/Montreal","O-1PS","0.6.4"
70808,"Station Square-Queen urbaine","Station Square-Queen urbaine",45.368313,-71.85605,FALSE,0,0.7,0.7,246,NA,44.2,408,94.933090000000007,-53,"2025-03-29T03:45:03.000Z",101,1,2.8,NA,NA,"Bishop's University - BAL","America/Montreal","O-1PS","0.6.4"
70822,"Whitecross","Whitecross",53.667788,-6.278266,FALSE,2.8,4.7,4.8,676,8.6,59.1,408,259.47925,-69,"2025-03-29T03:44:57.000Z",241,2,4.4,NA,NA,"Sonairte OpenAir Project","Europe/Dublin","O-1PS","0.6.4"
70826,"Grammetal","Grammetal",50.97792,11.19144,FALSE,20,37,38,3087,8.82,70,436,177.78735,-80,"2025-03-29T03:45:13.000Z",179,1,5,NA,NA,NA,"Europe/Berlin","O-1PS",NA
70827,NA,NA,43.457274,80.453964,FALSE,13.83,24.33,25.67,2230.5,8.6,56.52,414,205.23941,-49,"2025-03-29T03:44:29.000Z",201.33,1,4.4,NA,NA,NA,"America/New_York","O-1PS","3.1.21"
70828,"NCASI-1","NCASI-1",29.64,-82.49,FALSE,5.9,10.1,10.6,1241,18.9,57.4,411,37.418774,-65,"2025-03-29T03:44:45.000Z",36,5,17.2,NA,NA,NA,"America/New_York","O-1PS","0.6.4"
70854,"Shoreline, WA","Shoreline, WA",47.7528082,-122.3538757,FALSE,0,0.8,1.666667,200.2,8.259857,81.89378,402,19.761553,-47,"2025-03-29T03:45:10.000Z",14,6,4.4,NA,NA,NA,"America/Vancouver","O-1PS",NA
70868,"Quinta do Texugo","Quinta do Texugo",38.626694,-9.200861,FALSE,7.2,11.7,11.7,1272,14.7,60.9,428,199.75974,-74,"2025-03-29T03:44:51.000Z",197,1,12.2,NA,NA,NA,"Europe/Lisbon","O-1PS","0.6.4"
70871,NA,NA,46.7785,23.6427,FALSE,25,26.30662,38,3588,11.8,67.9,409,64.65311,-72,"2025-03-29T03:43:07.000Z",68,1,8.9,NA,NA,NA,"Europe/Athens","O-1PS",NA
70878,"Oakdale, Charlotte, NC","Oakdale, Charlotte, NC",35.2923222,-80.8844525,FALSE,14,19.33,20.17,2578.5,19.22,45.13,419,162.66936,-61,"2025-03-29T03:44:18.000Z",166,1,17.8,NA,NA,NA,"America/New_York","O-1PST","3.1.21"
70979,NA,NA,39.078637179292365,-74.82995832808099,FALSE,11,15.17,16.5,1904,15.4,55.94,412,157.10033,-49,"2025-03-29T03:45:01.000Z",161.08,1,13.3,NA,NA,NA,"America/New_York","O-1PS","3.1.21"
70982,NA,NA,42.27971,-88.04203,FALSE,1.67,3.67,3.67,545,21.67,43.55,439,108.5416,-68,"2025-03-29T03:44:42.000Z",115,1,20.6,NA,NA,NA,"America/Chicago","O-1PST","3.1.21"
70992,"home","home",48.249,16.451,FALSE,25.5,44.17,53,4603.5,12.6,67.38,424.67,271.41678,-62,"2025-03-29T03:44:45.000Z",249,1,10,NA,NA,NA,"Europe/Vienna","O-1PS","3.1.21"
70995,NA,NA,47.02771855631129,-119.03272197583573,FALSE,0,1,1,177,6.7,72,418,191.0641,-67,"2025-03-29T03:45:10.000Z",190,28,2.2,NA,NA,NA,"America/Los_Angeles","O-1PS",NA
71029,"EET1_Saladillo","EET1_Saladillo",-35.6442117793875,-59.783312717343826,FALSE,6.08,8.42,9.25,1274.25,26.78,47.08,NA,NA,-52,"2025-03-29T03:44:49.000Z",NA,NA,27.9,NA,NA,"Abid Hussain","Europe/London","O-1PP","3.1.21"
71035,"SW Barnes Road in east Washington County Oregon","SW Barnes Road in east Washington County Oregon",45.50915728020806,-122.76438018107751,FALSE,1.2,2.5,2.5,366,13.1,50.7,422,311.32465,-79,"2025-03-29T03:44:42.000Z",274,1,10.6,NA,NA,"Rogere","America/Los_Angeles","O-1PS","0.6.4"
71042,"Angermuller/Alexandre Air pollution SF/NM","Angermuller/Alexandre Air pollution SF/NM",35.614874697811715,-106.09199788410042,FALSE,0,0.6,0.6,162,15.6,25.6,429,69.089516,-48,"2025-03-29T03:45:15.000Z",73,6,13.3,NA,NA,NA,"America/Denver","O-1PS","0.6.4"
71053,"โรงเรียนมีชัยพัฒนา 1","โรงเรียนมีชัยพัฒนา 1",14.943276639744417,102.83871536708331,FALSE,27.9,43.8,53.3,5767,32.5,41.7,407,13.537871,-69,"2025-03-29T03:45:07.000Z",6,1,40.3,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71057,"Houston","Houston",29.666,-95.444,FALSE,7,4.85256,10,1293,20.7,71.2,449,201.01828,-62,"2025-03-29T03:43:26.000Z",198,1,19.4,NA,NA,NA,"America/Chicago","O-1PS",NA
71063,"โรงเรียนราชประชานุเคราะห์ 35","โรงเรียนราชประชานุเคราะห์ 35",8.776161659005904,98.26620212523758,FALSE,26.4,40.8,48.8,6046,28.4,54.7,400,20.546692,-40,"2025-03-29T03:44:57.000Z",15,5,32.4,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71064,"โรงเรียนราชประชานุเคราะห์ 37","โรงเรียนราชประชานุเคราะห์ 37",8.267128021403797,99.04695559639762,FALSE,30.5,48.9,60.2,6994,33.3,46,411,166.1054,-68,"2025-03-29T03:44:47.000Z",169,1,45,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71065,"โรงเรียนราชประชานุเคราะห์ 45","โรงเรียนราชประชานุเคราะห์ 45",14.128972484746537,99.69294076763131,FALSE,43.5,63.8,72.2,11494,31.3,42.4,400,67.30876,-52,"2025-03-29T03:44:37.000Z",71,2,37.1,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71066,"โรงเรียนราชประชานุเคราะห์ 50","โรงเรียนราชประชานุเคราะห์ 50",16.25802367972713,102.77506342533592,FALSE,22.8,35.8,41.8,4814,33.1,28.1,411,16.637037,-63,"2025-03-29T03:45:06.000Z",10,1,36.2,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71069,"โรงเรียนราชประชานุเคราะห์ 56","โรงเรียนราชประชานุเคราะห์ 56",18.55614310402829,100.71911569413429,FALSE,147.2,243.2,262.8,36038,30.8,33.8,425,206.09438,-72,"2025-03-29T03:45:05.000Z",202,2,33.1,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71072,"โรงเรียนโสตศึกษา สุรินทร์","โรงเรียนโสตศึกษา สุรินทร์",14.708486039648943,103.42312321153788,FALSE,28.8,43,50.8,6059,34.4,36,404,93.979355,-83,"2025-03-29T03:45:13.000Z",100,2,43.2,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71073,"โรงเรียนโสตศึกษา ปราจีนบุรี","โรงเรียนโสตศึกษา ปราจีนบุรี",14.176639629938995,101.37048562423693,FALSE,27.5,46.5,56,5840,30.3,47.6,404,57.660328,-67,"2025-03-29T03:45:05.000Z",60,2,36,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71075,"โรงเรียนลพบุรีปัญญานุกูล","โรงเรียนลพบุรีปัญญานุกูล",14.783014131133461,100.64741702329812,FALSE,31.2,52.6,64.8,7704,32.2,46.6,415,126.782364,-54,"2025-03-29T03:45:14.000Z",133,8,41.5,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71076,"โรงเรียนเตรียมทหาร รุ่นที่ 13 อนุสรณ์","โรงเรียนเตรียมทหาร รุ่นที่ 13 อนุสรณ์",16.350857980092687,104.57883941275776,FALSE,34.7,60.5,69.9,9008,32.5,43.5,420,33.333492,-75,"2025-03-29T03:45:00.000Z",31,7,41.1,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71080,"โรงเรียนชุมชนวัดเขาไม้แก้ว","โรงเรียนชุมชนวัดเขาไม้แก้ว",12.949917877088192,101.03639622869056,FALSE,27.9,44,52.5,5670,33.1,43.4,401,57.660328,-61,"2025-03-29T03:44:58.000Z",60,1,43,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71081,"โรงเรียนวัดกระเฉท","โรงเรียนวัดกระเฉท",12.75573100747808,101.22385802114438,FALSE,23.3,38.4,45,4639,34,46,403,34.962364,-66,"2025-03-29T03:44:54.000Z",33,1,47.6,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
71097,"โรงเรียนเสริมขวาวิทยา","โรงเรียนเสริมขวาวิทยา",18.129044618992815,99.20212951372334,FALSE,134.1,223.9,238.4,32420,29.9,33.5,397,111.52187,-81,"2025-03-29T03:44:54.000Z",118,4,31.3,NA,NA,"Meechai Bamboo Schools","Asia/Bangkok","O-1PS","0.6.4"
